filename;crack;inactive
images/cell2044.png;1;0
images/cell2044_vertical.png;1;0
images/cell2044_flipped.png;1;0
images/cell2044_flipped_vertical.png;1;0
images/cell0123.png;0;0
images/cell0123_vertical.png;0;0
images/cell0123_flipped.png;0;0
images/cell0123_flipped_vertical.png;0;0
images/cell2241.png;0;0
images/cell2241_vertical.png;0;0
images/cell2241_flipped.png;0;0
images/cell2241_flipped_vertical.png;0;0
images/cell2426.png;0;0
images/cell2426_vertical.png;0;0
images/cell2426_flipped.png;0;0
images/cell2426_flipped_vertical.png;0;0
images/cell1552.png;0;0
images/cell1552_vertical.png;0;0
images/cell1552_flipped.png;0;0
images/cell1552_flipped_vertical.png;0;0
images/cell0813.png;0;0
images/cell0813_vertical.png;0;0
images/cell0813_flipped.png;0;0
images/cell0813_flipped_vertical.png;0;0
images/cell1251.png;0;0
images/cell1251_vertical.png;0;0
images/cell1251_flipped.png;0;0
images/cell1251_flipped_vertical.png;0;0
images/cell1221.png;0;0
images/cell1221_vertical.png;0;0
images/cell1221_flipped.png;0;0
images/cell1221_flipped_vertical.png;0;0
images/cell1456.png;1;0
images/cell1456_vertical.png;1;0
images/cell1456_flipped.png;1;0
images/cell1456_flipped_vertical.png;1;0
images/cell1927.png;0;0
images/cell1927_vertical.png;0;0
images/cell1927_flipped.png;0;0
images/cell1927_flipped_vertical.png;0;0
images/cell1283.png;0;0
images/cell1283_vertical.png;0;0
images/cell1283_flipped.png;0;0
images/cell1283_flipped_vertical.png;0;0
images/cell1575.png;0;0
images/cell1575_vertical.png;0;0
images/cell1575_flipped.png;0;0
images/cell1575_flipped_vertical.png;0;0
images/cell1263.png;0;0
images/cell1263_vertical.png;0;0
images/cell1263_flipped.png;0;0
images/cell1263_flipped_vertical.png;0;0
images/cell0614.png;1;0
images/cell0614_vertical.png;1;0
images/cell0614_flipped.png;1;0
images/cell0614_flipped_vertical.png;1;0
images/cell0718.png;0;0
images/cell0718_vertical.png;0;0
images/cell0718_flipped.png;0;0
images/cell0718_flipped_vertical.png;0;0
images/cell1809.png;0;0
images/cell1809_vertical.png;0;0
images/cell1809_flipped.png;0;0
images/cell1809_flipped_vertical.png;0;0
images/cell1275.png;0;0
images/cell1275_vertical.png;0;0
images/cell1275_flipped.png;0;0
images/cell1275_flipped_vertical.png;0;0
images/cell1161.png;1;0
images/cell1161_vertical.png;1;0
images/cell1161_flipped.png;1;0
images/cell1161_flipped_vertical.png;1;0
images/cell1725.png;0;0
images/cell1725_vertical.png;0;0
